samplename	family	nreads
ClaidentTutorial__Sample01__MiFish	004_Cyprinidae	493
ClaidentTutorial__Sample01__MiFish	038_Bothidae	491
ClaidentTutorial__Sample01__MiFish	093_Odontobutidae	488
ClaidentTutorial__Sample01__MiFish	010_Carangidae	487
ClaidentTutorial__Sample01__MiFish	009_Cichlidae	485
ClaidentTutorial__Sample01__MiFish	018_Echeneidae	250
ClaidentTutorial__Sample01__MiFish	013_Mormyridae	249
ClaidentTutorial__Sample01__MiFish	032_Lepidosirenidae	249
ClaidentTutorial__Sample01__MiFish	071_unidentified_Anguilliformes	249
ClaidentTutorial__Sample01__MiFish	008_Gobiidae	248
ClaidentTutorial__Sample01__MiFish	041_Eleotridae	248
ClaidentTutorial__Sample01__MiFish	049_Characidae	248
ClaidentTutorial__Sample01__MiFish	050_Acanthuridae	248
ClaidentTutorial__Sample01__MiFish	052_unidentified_Acropomatiformes	248
ClaidentTutorial__Sample01__MiFish	082_Moronidae	248
ClaidentTutorial__Sample01__MiFish	095_Loricariidae	248
ClaidentTutorial__Sample01__MiFish	117_Pseudochromidae	248
ClaidentTutorial__Sample01__MiFish	002_Nothobranchiidae	247
ClaidentTutorial__Sample01__MiFish	022_Atherinopsidae	247
ClaidentTutorial__Sample01__MiFish	046_Poeciliidae	247
ClaidentTutorial__Sample01__MiFish	055_Adrianichthyidae	247
ClaidentTutorial__Sample01__MiFish	102_Sparidae	247
ClaidentTutorial__Sample01__MiFish	114_Kyphosidae	247
ClaidentTutorial__Sample01__MiFish	116_Percidae	247
ClaidentTutorial__Sample01__MiFish	126_Citharidae	247
ClaidentTutorial__Sample01__MiFish	007_Tetraodontidae	246
ClaidentTutorial__Sample01__MiFish	021_Bathyclupeidae	246
ClaidentTutorial__Sample01__MiFish	024_Odacidae	246
ClaidentTutorial__Sample01__MiFish	048_unidentified_Cobitoidei	246
ClaidentTutorial__Sample01__MiFish	054_Chlopsidae	246
ClaidentTutorial__Sample01__MiFish	090_Sinipercidae	246
ClaidentTutorial__Sample01__MiFish	003_unidentified_Osteoglossiformes	245
ClaidentTutorial__Sample01__MiFish	064_Bryconidae	245
ClaidentTutorial__Sample01__MiFish	075_Diplomystidae	245
ClaidentTutorial__Sample01__MiFish	085_Danionidae	245
ClaidentTutorial__Sample01__MiFish	097_Lutjanidae	245
ClaidentTutorial__Sample01__MiFish	133_Gastromyzontidae	245
ClaidentTutorial__Sample01__MiFish	011_Nototheniidae	244
ClaidentTutorial__Sample01__MiFish	012_Sciaenidae	244
ClaidentTutorial__Sample01__MiFish	031_Xenocyprididae	244
ClaidentTutorial__Sample01__MiFish	113_Acipenseridae	244
ClaidentTutorial__Sample01__MiFish	136_Chiasmodontidae	244
ClaidentTutorial__Sample01__MiFish	065_unidentified_Siluroidei	243
ClaidentTutorial__Sample01__MiFish	025_Channidae	242
ClaidentTutorial__Sample02__MiFish	004_Cyprinidae	499
ClaidentTutorial__Sample02__MiFish	038_Bothidae	495
ClaidentTutorial__Sample02__MiFish	009_Cichlidae	494
ClaidentTutorial__Sample02__MiFish	007_Tetraodontidae	493
ClaidentTutorial__Sample02__MiFish	032_Lepidosirenidae	254
ClaidentTutorial__Sample02__MiFish	021_Bathyclupeidae	252
ClaidentTutorial__Sample02__MiFish	024_Odacidae	250
ClaidentTutorial__Sample02__MiFish	025_Channidae	250
ClaidentTutorial__Sample02__MiFish	047_Samaridae	250
ClaidentTutorial__Sample02__MiFish	003_unidentified_Osteoglossiformes	249
ClaidentTutorial__Sample02__MiFish	048_unidentified_Cobitoidei	249
ClaidentTutorial__Sample02__MiFish	055_Adrianichthyidae	249
ClaidentTutorial__Sample02__MiFish	113_Acipenseridae	249
ClaidentTutorial__Sample02__MiFish	054_Chlopsidae	248
ClaidentTutorial__Sample02__MiFish	082_Moronidae	248
ClaidentTutorial__Sample02__MiFish	095_Loricariidae	248
ClaidentTutorial__Sample02__MiFish	098_Trachipteridae	248
ClaidentTutorial__Sample02__MiFish	006_Clupeidae	247
ClaidentTutorial__Sample02__MiFish	022_Atherinopsidae	247
ClaidentTutorial__Sample02__MiFish	050_Acanthuridae	247
ClaidentTutorial__Sample02__MiFish	052_unidentified_Acropomatiformes	247
ClaidentTutorial__Sample02__MiFish	075_Diplomystidae	247
ClaidentTutorial__Sample02__MiFish	079_Psilorhynchidae	247
ClaidentTutorial__Sample02__MiFish	084_Labridae	247
ClaidentTutorial__Sample02__MiFish	010_Carangidae	246
ClaidentTutorial__Sample02__MiFish	011_Nototheniidae	246
ClaidentTutorial__Sample02__MiFish	012_Sciaenidae	246
ClaidentTutorial__Sample02__MiFish	036_Zenarchopteridae	246
ClaidentTutorial__Sample02__MiFish	060_Lebiasinidae	246
ClaidentTutorial__Sample02__MiFish	064_Bryconidae	246
ClaidentTutorial__Sample02__MiFish	102_Sparidae	246
ClaidentTutorial__Sample02__MiFish	002_Nothobranchiidae	245
ClaidentTutorial__Sample02__MiFish	031_Xenocyprididae	245
ClaidentTutorial__Sample02__MiFish	041_Eleotridae	245
ClaidentTutorial__Sample02__MiFish	071_unidentified_Anguilliformes	245
ClaidentTutorial__Sample02__MiFish	116_Percidae	245
ClaidentTutorial__Sample02__MiFish	013_Mormyridae	244
ClaidentTutorial__Sample02__MiFish	018_Echeneidae	244
ClaidentTutorial__Sample02__MiFish	040_Osphronemidae	244
ClaidentTutorial__Sample02__MiFish	046_Poeciliidae	244
ClaidentTutorial__Sample02__MiFish	049_Characidae	244
ClaidentTutorial__Sample02__MiFish	117_Pseudochromidae	244
ClaidentTutorial__Sample02__MiFish	090_Sinipercidae	243
ClaidentTutorial__Sample02__MiFish	093_Odontobutidae	243
ClaidentTutorial__Sample02__MiFish	008_Gobiidae	242
ClaidentTutorial__Sample03__MiFish	038_Bothidae	494
ClaidentTutorial__Sample03__MiFish	004_Cyprinidae	485
ClaidentTutorial__Sample03__MiFish	003_unidentified_Osteoglossiformes	253
ClaidentTutorial__Sample03__MiFish	011_Nototheniidae	253
ClaidentTutorial__Sample03__MiFish	046_Poeciliidae	251
ClaidentTutorial__Sample03__MiFish	049_Characidae	250
ClaidentTutorial__Sample03__MiFish	054_Chlopsidae	250
ClaidentTutorial__Sample03__MiFish	084_Labridae	250
ClaidentTutorial__Sample03__MiFish	093_Odontobutidae	250
ClaidentTutorial__Sample03__MiFish	007_Tetraodontidae	249
ClaidentTutorial__Sample03__MiFish	010_Carangidae	249
ClaidentTutorial__Sample03__MiFish	014_Muraenesocidae	249
ClaidentTutorial__Sample03__MiFish	036_Zenarchopteridae	249
ClaidentTutorial__Sample03__MiFish	040_Osphronemidae	249
ClaidentTutorial__Sample03__MiFish	024_Odacidae	248
ClaidentTutorial__Sample03__MiFish	060_Lebiasinidae	248
ClaidentTutorial__Sample03__MiFish	062_Zeidae	248
ClaidentTutorial__Sample03__MiFish	071_unidentified_Anguilliformes	248
ClaidentTutorial__Sample03__MiFish	075_Diplomystidae	248
ClaidentTutorial__Sample03__MiFish	006_Clupeidae	247
ClaidentTutorial__Sample03__MiFish	008_Gobiidae	247
ClaidentTutorial__Sample03__MiFish	020_Fundulidae	247
ClaidentTutorial__Sample03__MiFish	041_Eleotridae	247
ClaidentTutorial__Sample03__MiFish	047_Samaridae	247
ClaidentTutorial__Sample03__MiFish	085_Danionidae	247
ClaidentTutorial__Sample03__MiFish	090_Sinipercidae	247
ClaidentTutorial__Sample03__MiFish	095_Loricariidae	247
ClaidentTutorial__Sample03__MiFish	101_Sillaginidae	247
ClaidentTutorial__Sample03__MiFish	019_Callionymidae	246
ClaidentTutorial__Sample03__MiFish	051_Pimelodidae	246
ClaidentTutorial__Sample03__MiFish	082_Moronidae	246
ClaidentTutorial__Sample03__MiFish	098_Trachipteridae	246
ClaidentTutorial__Sample03__MiFish	009_Cichlidae	245
ClaidentTutorial__Sample03__MiFish	012_Sciaenidae	245
ClaidentTutorial__Sample03__MiFish	021_Bathyclupeidae	245
ClaidentTutorial__Sample03__MiFish	032_Lepidosirenidae	245
ClaidentTutorial__Sample03__MiFish	048_unidentified_Cobitoidei	245
ClaidentTutorial__Sample03__MiFish	079_Psilorhynchidae	245
ClaidentTutorial__Sample03__MiFish	013_Mormyridae	244
ClaidentTutorial__Sample03__MiFish	023_Scatophagidae	244
ClaidentTutorial__Sample03__MiFish	052_unidentified_Acropomatiformes	244
