samplename	MiFish_STD_01	MiFish_STD_02	MiFish_STD_03	MiFish_STD_04-2
ClaidentTutorial__Sample01__MiFish	145	350	752	2497
ClaidentTutorial__Sample02__MiFish	96	255	814	2328
ClaidentTutorial__Sample03__MiFish	153	301	742	2472
ClaidentTutorial__Sample04__MiFish	189	322	744	2396
ClaidentTutorial__Sample05__MiFish	158	341	795	2528
ClaidentTutorial__Sample06__MiFish	194	292	897	2362
ClaidentTutorial__Sample07__MiFish	157	220	801	2255
ClaidentTutorial__Sample08__MiFish	106	313	835	2365
ClaidentTutorial__Sample09__MiFish	175	350	779	2371
ClaidentTutorial__Sample10__MiFish	116	247	827	2375
ClaidentTutorial__Sample11__MiFish	127	270	941	2250
ClaidentTutorial__Sample12__MiFish	119	355	691	2316
ClaidentTutorial__Sample13__MiFish	167	276	822	2224
ClaidentTutorial__Sample14__MiFish	103	466	775	2201
ClaidentTutorial__Sample15__MiFish	113	233	795	2223
ClaidentTutorial__Sample16__MiFish	159	340	815	2448
ClaidentTutorial__Sample17__MiFish	191	338	630	2518
ClaidentTutorial__Sample18__MiFish	95	353	694	2615
ClaidentTutorial__Sample19__MiFish	145	279	684	2523
ClaidentTutorial__Sample20__MiFish	123	347	774	2488
